time,lambda_main,queue_lambdas.frontend,queue_lambdas.database,queue_lambdas.backend,delays.frontend,delays.database,delays.backend
30,0.12346185851341915,0.0,0.12346185851341915,0.0,5.492731655556185,2.9527510206866463,2.8104718489579037
31,0.12752802820912418,0.0,0.12752802820912418,0.0,5.492731655556185,2.988633712804854,2.8104718489579037
32,0.12660592654803585,0.0,0.12660592654803585,0.0,5.492731655556185,2.980420198959763,2.8104718489579037
33,0.1328419032100943,0.0,0.1328419032100943,0.0,5.492731655556185,3.0368628174595407,2.8104718489579037
34,0.118904312197881,0.0,0.118904312197881,0.0,5.492731655556185,2.9135426051411843,2.8104718489579037
35,0.13783913133541853,0.0,0.13783913133541853,0.0,5.492731655556185,3.083660123671987,2.8104718489579037
36,0.1604453547067988,0.0,0.1604453547067988,0.0,5.492731655556185,3.3147296261148496,2.8104718489579037
37,0.15577867611987403,0.0,0.15577867611987403,0.0,5.492731655556185,3.264235886603834,2.8104718489579037
38,0.14899081476704285,0.0,0.14899081476704285,0.0,5.492731655556185,3.1934774303694047,2.8104718489579037
39,0.15360702717671823,0.0,0.15360702717671823,0.0,5.492731655556185,3.24125933039548,2.8104718489579037
40,0.13516032307643505,0.0,0.13516032307643505,0.0,5.492731655556185,3.058396137756907,2.8104718489579037
41,0.12234372358857079,0.0,0.12234372358857079,0.0,5.492731655556185,2.943034374794199,2.8104718489579037
42,0.1381309950353047,0.0,0.1381309950353047,0.0,5.492731655556185,3.0864379439108163,2.8104718489579037
43,0.12809623784855545,0.0,0.12809623784855545,0.0,5.492731655556185,2.9937175555962328,2.8104718489579037
44,0.11770267168112601,0.0,0.11770267168112601,0.0,5.492731655556185,2.903377789953655,2.8104718489579037
45,0.11761093775000772,0.0,0.11761093775000772,0.0,5.492731655556185,2.9026047152695638,2.8104718489579037
46,0.11276943874447513,0.0,0.11276943874447513,0.0,5.492731655556185,2.862379812436368,2.8104718489579037
47,0.12280278535166358,0.0,0.12280278535166358,0.0,5.492731655556185,2.947015895084722,2.8104718489579037
48,0.13051255230291237,0.0,0.13051255230291237,0.0,5.492731655556185,3.0155311935752396,2.8104718489579037
49,0.1379481952530111,0.0,0.1379481952530111,0.0,5.492731655556185,3.0846975569809367,2.8104718489579037
50,0.1428639880332645,0.0,0.1428639880332645,0.0,5.492731655556185,3.1321933030011837,2.8104718489579037
51,0.14512008777362131,0.0,0.14512008777362131,0.0,5.492731655556185,3.154484596149079,2.8104718489579037
52,0.13766329878991782,0.0,0.13766329878991782,0.0,5.492731655556185,3.0819890451444443,2.8104718489579037
53,0.13119305484402588,0.0,0.13119305484402588,0.0,5.492731655556185,3.021732019264418,2.8104718489579037
54,0.11870950246603416,0.0,0.11870950246603416,0.0,5.492731655556185,2.911889855904505,2.8104718489579037
55,0.13828161064186076,0.0,0.13828161064186076,0.0,5.492731655556185,3.0878733904070415,2.8104718489579037
56,0.1309251989486209,0.0,0.1309251989486209,0.0,5.492731655556185,3.0192882413720383,2.8104718489579037
57,0.12798871235310927,0.0,0.12798871235310927,0.0,5.492731655556185,2.9927541851408423,2.8104718489579037
58,0.14279070330110916,0.0,0.14279070330110916,0.0,5.492731655556185,3.1314744982470324,2.8104718489579037
59,0.1269916086350961,0.0,0.1269916086350961,0.0,5.492731655556185,2.9838501188051576,2.8104718489579037
60,0.14018238776511918,0.0,0.14018238776511918,0.0,5.492731655556185,3.1061042315440157,2.8104718489579037
61,0.13849583134222376,0.0,0.13849583134222376,0.0,5.492731655556185,3.0899173286981045,2.8104718489579037
62,0.12557667876679993,0.0,0.12557667876679993,0.0,5.492731655556185,2.9713054494703948,2.8104718489579037
63,0.13060363988816157,0.0,0.13060363988816157,0.0,5.492731655556185,3.0163597195853735,2.8104718489579037
64,0.14092709310141283,0.0,0.14092709310141283,0.0,5.492731655556185,3.1133057198642664,2.8104718489579037
65,0.1432602817027056,0.0,0.1432602817027056,0.0,5.492731655556185,3.136086027415963,2.8104718489579037
66,0.15316542305898537,0.0,0.15316542305898537,0.0,5.492731655556185,3.236626573727976,2.8104718489579037
67,0.14658896077445066,0.0,0.14658896077445066,0.0,5.492731655556185,3.169169059051,2.8104718489579037
68,0.1760336725644578,0.0,0.1760336725644578,0.0,5.492731655556185,3.4953374118306146,2.8104718489579037
69,0.14446638177479654,0.0,0.14446638177479654,0.0,5.492731655556185,3.1479931022473155,2.8104718489579037
70,0.1413472499096447,0.0,0.1413472499096447,0.0,5.492731655556185,3.1173834962511955,2.8104718489579037
71,0.14031103521720317,0.0,0.14031103521720317,0.0,5.492731655556185,3.107345903336541,2.8104718489579037
